,False Positive avg,False Negative avg
recency,0.5495917087900547,-0.3039845978506578
frequency,-0.4042661681548411,-0.08395314898160149
monetary,-0.17274439384868664,-0.08188236719802101
avg_basket_size,-0.019461088408395538,-0.02128651996863146
product_variety,-0.3573177199284983,-0.03151176938196532
avg_unit_price,-0.03865381489658717,-0.01825060626536547
r_score,-0.7003459595501732,0.20635297326391938
f_score,-1.1293095211823436,0.26362920035582205
m_score,-0.8680510559272351,0.14072008593081897
rfm_score,-1.0788579484846432,0.24425165579631142
country_enc,0.1616912486282189,0.08970600681228913
