ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Boxing Day,Boxing Day_lower,Boxing Day_upper,Boxing Day (observed),Boxing Day (observed)_lower,Boxing Day (observed)_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (observed),Christmas Day (observed)_lower,Christmas Day (observed)_upper,Good Friday,Good Friday_lower,Good Friday_upper,May Day,May Day_lower,May Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (observed),New Year's Day (observed)_lower,New Year's Day (observed)_upper,Spring Bank Holiday,Spring Bank Holiday_lower,Spring Bank Holiday_upper,Wedding of William and Catherine,Wedding of William and Catherine_lower,Wedding of William and Catherine_upper,avg_unit_price,avg_unit_price_lower,avg_unit_price_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,unique_items,unique_items_lower,unique_items_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2010-12-01,27936.553505229604,9260.084285896919,61847.23541104534,27936.553505229604,27936.553505229604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004704125072937607,0.0004704125072937607,0.0004704125072937607,0.13303546174405168,0.13303546174405168,0.13303546174405168,0.0,0.0,0.0,0.26576606349950493,0.26576606349950493,0.26576606349950493,0.1325650492367579,0.1325650492367579,0.1325650492367579,0.1327306017554533,0.1327306017554533,0.1327306017554533,0.0,0.0,0.0,35361.14135805777
2010-12-02,27750.88000788099,13126.448122632484,67092.90608852662,27750.88000788099,27750.88000788099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002878728442415261,0.002878728442415261,0.002878728442415261,0.10224390272820394,0.10224390272820394,0.10224390272820394,0.0,0.0,0.0,0.45354488882800026,0.45354488882800026,0.45354488882800026,0.09936517428578867,0.09936517428578867,0.09936517428578867,0.3513009860997963,0.3513009860997963,0.3513009860997963,0.0,0.0,0.0,40337.14979593455
2010-12-03,27565.206510532385,7851.459963508226,60974.61412013659,27565.206510532385,27565.206510532385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007813214688361766,0.007813214688361766,0.007813214688361766,0.07142467748849124,0.07142467748849124,0.07142467748849124,0.0,0.0,0.0,0.25127691276173636,0.25127691276173636,0.25127691276173636,0.06361146280012947,0.06361146280012947,0.06361146280012947,0.1798522352732451,0.1798522352732451,0.1798522352732451,0.0,0.0,0.0,34491.70650213867
2010-12-05,27193.859515835167,-4270.718248054189,48562.37054353162,27193.859515835167,27193.859515835167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011841532696348208,-0.011841532696348208,-0.011841532696348208,0.23819999713614706,0.23819999713614706,0.23819999713614706,0.0,0.0,0.0,-0.17235640954645273,-0.17235640954645273,-0.17235640954645273,0.2500415298324953,0.2500415298324953,0.2500415298324953,-0.4105564066825998,-0.4105564066825998,-0.4105564066825998,0.0,0.0,0.0,22506.823527975183
2010-12-06,27008.186018486555,7225.723984365154,58193.03789272456,27008.186018486555,27008.186018486555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007054847663136288,-0.007054847663136288,-0.007054847663136288,0.13317171117769147,0.13317171117769147,0.13317171117769147,0.0,0.0,0.0,0.17641959358487797,0.17641959358487797,0.17641959358487797,0.14022655884082777,0.14022655884082777,0.14022655884082777,0.04324788240718651,0.04324788240718651,0.04324788240718651,0.0,0.0,0.0,31772.959219332737
2010-12-07,26822.51252113795,5674.225270674502,58312.10604779232,26822.51252113795,26822.51252113795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0065530648168757285,0.0065530648168757285,0.0065530648168757285,-0.011558241493072965,-0.011558241493072965,-0.011558241493072965,0.0,0.0,0.0,0.19239328811567133,0.19239328811567133,0.19239328811567133,-0.018111306309948692,-0.018111306309948692,-0.018111306309948692,0.2039515296087443,0.2039515296087443,0.2039515296087443,0.0,0.0,0.0,31982.983900603445
2010-12-08,26636.83902378934,6558.850731347843,59553.11350410055,26636.83902378934,26636.83902378934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001866760624726052,-0.001866760624726052,-0.001866760624726052,0.10005225019575255,0.10005225019575255,0.10005225019575255,0.0,0.0,0.0,0.232782851951637,0.232782851951637,0.232782851951637,0.1019190108204786,0.1019190108204786,0.1019190108204786,0.13273060175588444,0.13273060175588444,0.13273060175588444,0.0,0.0,0.0,32837.43837872368
2010-12-09,26451.165526440727,12547.227351029707,63653.84560645184,26451.165526440727,26451.165526440727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027991525271835885,0.0027991525271835885,0.0027991525271835885,0.06385677879262312,0.06385677879262312,0.06385677879262312,0.0,0.0,0.0,0.41515776489246536,0.41515776489246536,0.41515776489246536,0.061057626265439535,0.061057626265439535,0.061057626265439535,0.3513009860998422,0.3513009860998422,0.3513009860998422,0.0,0.0,0.0,37432.57228519849
2010-12-10,26265.49202909212,4430.888375295961,58801.358355417105,26265.49202909212,26265.49202909212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005237978172364627,0.0005237978172364627,0.0005237978172364627,0.07179677022143577,0.07179677022143577,0.07179677022143577,0.0,0.0,0.0,0.25164900549431307,0.25164900549431307,0.25164900549431307,0.0712729724041993,0.0712729724041993,0.0712729724041993,0.1798522352728773,0.1798522352728773,0.1798522352728773,0.0,0.0,0.0,32875.17697703196
2010-12-12,25894.145034394904,-8457.160742988355,42320.46849557449,25894.145034394904,25894.145034394904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01996878390523853,-0.01996878390523853,-0.01996878390523853,0.06151953463772056,0.06151953463772056,0.06151953463772056,0.0,0.0,0.0,-0.349036872045447,-0.349036872045447,-0.349036872045447,0.08148831854295908,0.08148831854295908,0.08148831854295908,-0.41055640668316756,-0.41055640668316756,-0.41055640668316756,0.0,0.0,0.0,16856.133647298564
