horizon,mse,rmse,mae,mape,mdape,smape,coverage
3 days,141716200.8378364,11904.461383776941,9646.726143334523,0.33812530432646265,0.2768181889856739,0.30498300544937895,0.9333333333333333
4 days,120595416.64983222,10981.594449342601,8550.179034142246,0.3069940339066401,0.22987834440866822,0.2719965281539257,0.9333333333333333
5 days,208745342.7241865,14448.022104225425,10835.984934940236,0.3847867924692968,0.29864334104691076,0.34755076072836105,0.8666666666666667
6 days,153016436.87779796,12369.98128041421,8362.504579354047,0.2684530134953211,0.16160250465287448,0.26172472012213716,0.8666666666666667
7 days,197903146.99642536,14067.805336882699,10316.2912171896,0.28800746499873064,0.17044178464754176,0.2980392552502607,0.8
8 days,111425656.37628585,10555.835181371764,8075.215334041448,0.21050163673251393,0.16501286127233525,0.22210761250541727,0.88
9 days,177189190.55614778,13311.243013188054,10754.663275079145,0.31065906939847354,0.2912025496245643,0.2998577434841471,0.8133333333333332
10 days,500818350.40264475,22378.97116497192,13731.771220718154,0.33193016169897427,0.21095861024993803,0.33298776473721836,0.8
11 days,507685832.5948017,22531.88479898656,13898.271126820962,0.3324952375592926,0.1985538593245324,0.3319166644631375,0.8
12 days,477058137.76665914,21841.66060002442,13412.739129495478,0.34033420207572235,0.28735738018333534,0.36538062001406757,0.8
13 days,139111676.30208042,11794.561301806882,9713.484258934495,0.3828011420565512,0.23550037465780893,0.3418147644725548,0.8666666666666667
14 days,156053199.44235522,12492.125497382549,10959.905113644645,0.4897984581704414,0.35880183416036154,0.408669317863389,0.8666666666666667
15 days,160614329.40441057,12673.370877726675,11082.121277611102,0.4996579168965042,0.3626158985395445,0.38668921231702696,1.0
16 days,234046884.4052194,15298.590928749596,13235.834713815304,0.48289263379856745,0.5002548550206585,0.41382735872843085,0.9333333333333333
17 days,229835072.30336034,15160.312407841744,12080.63213199423,0.43368731204235816,0.5002548550206585,0.3716235103891237,0.8666666666666667
18 days,192506264.79610935,13874.662691255213,10657.619633203318,0.37735347564551097,0.43282294656653764,0.32394652766564724,0.8666666666666667
19 days,178518377.3339566,13361.076952624613,10527.117520051519,0.5491468733896466,0.43373405478011934,0.4031522998697446,0.7866666666666667
20 days,132615344.32364264,11515.873580568807,9094.666826161656,0.4690798053366123,0.17940872483654968,0.357173771510214,0.8533333333333334
21 days,150271806.94069996,12258.540163522734,9150.816535712034,0.4791796317383104,0.18321876300402626,0.3591933078969063,0.8
22 days,135343723.64859286,11633.73214615984,7913.331787198014,0.30289372790586666,0.22462263927002013,0.2504950282227794,0.8666666666666667
23 days,323237324.98806304,17978.80210103173,12647.322238936238,0.37001754675890475,0.3038764064631919,0.34769327275751694,0.7466666666666666
24 days,291620430.0584786,17076.89755366819,12008.701648716622,0.32160677385763375,0.2854434502979369,0.3214261121985231,0.8111111111111111
25 days,394865303.89688784,19871.217977187203,14730.418214058924,0.3339907624947974,0.3282350845131919,0.37056069828346583,0.8
26 days,237619607.3974628,15414.915095369899,11326.854101167575,0.31809741194239144,0.28624509273998133,0.3147433750641861,0.8666666666666667
27 days,257924436.6345043,16060.026047130319,12002.705360934691,0.320027807572975,0.28624509273998133,0.3291842788216295,0.8
28 days,158574552.74635696,12592.638831728518,10602.5223226449,0.42675805273735495,0.272682639773336,0.35045045118522006,0.8666666666666667
29 days,163355368.35044953,12781.055056232624,10921.186192608473,0.45382765464781455,0.2690577487939255,0.3593821270506327,0.88
30 days,1752163519.7998726,41858.85234690355,22941.930570821973,0.5599372654755437,0.5034221107102167,0.5019027741193424,0.7333333333333333
