learning_rate,batch_size,dropout,epochs,layers,val_auc_roc
0.001,64,0.3,30,"[256, 128, 64]",0.7472
0.001,32,0.3,30,"[256, 128, 64]",0.7454
0.001,64,0.5,50,"[256, 128, 64]",0.7424
0.001,32,0.3,30,"[64, 32]",0.7407
0.0005,32,0.5,50,"[128, 64, 32]",0.7371
0.001,64,0.3,50,"[128, 64, 32]",0.737
0.0005,32,0.2,50,"[64, 32]",0.7356
0.0001,128,0.3,30,"[128, 64, 32]",0.7352
0.001,64,0.2,50,"[128, 64, 32]",0.7311
0.0005,32,0.3,30,"[256, 128, 64]",0.7301
0.0001,32,0.2,30,"[64, 32]",0.7242
0.0001,64,0.5,30,"[128, 64, 32]",0.7173
